id,resourceType,title,description,startDate,endDate,lat,lon,documentType,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
1,Disaster Event,Environmental - South-Eastern Australia Heatwave 1939,"An extreme heatwave occurred in south-eastern Australia, January 1939. It was long lasting with very high temperatures. On 9 January the temperature at Kyancutta (South Australia) reached 49.3 &deg;C, the highest temperature recorded in South Australia at that time.  Many temperature records were made during this heatwave, some of which have held until the recent 2009 heatwave; Adelaide, 46.1 &deg;C, on 12 January, Melbourne, 45.6&deg;C on 13 January, Sydney, 45.3&deg;C on 14 January with Manly and Richmond both reaching over 47 &deg;C. In northern New South Wales some places reached 48&nbsp;&deg;C on 15 January. Menindee in western New South Wales reached 49.7 &deg;C.  High temperatures were experienced inland in 1939; at Mildura the temperature exceeded 37.8&nbsp;&deg;C on each of the first 14 days of January, and at the peak of the heatwave, averaged 45.6&deg;C from 7-14 January. It is estimated that more than 400 deaths in Victoria were caused by excessive heat.  The strong northerly winds in 1939 over this period followed a very dry six months providing the right conditions for extreme bushfire, see the related entry for the 13 January 1939, Black Friday bushfire.",1/1/1939 0:00,1/16/1939 0:00,-33.1315155,135.5578918,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria;New South Wales;South Australia,,http://www.emknowledge.gov.au/resource/?id=1,
2,Disaster Event,Industrial - Leinster Mine Flood,"On 13 June 1989, exceptionally heavy rain caused strong flows in the creek system to the south and east of the EMU mine situated in Leinster. The 450 south pit adjacent to the operating mine began to rise as the blocked creek system backed up and began to spill over into it. At the same time, the main AG pit began to fill with water.  The mining crew made preparation to vacate the decline. At about the time water began to overtop the narrow neck of ground between the two pits and to cascade into the south end of the main AG pit, five mining crew were attempting to retrieve a pump. The neck of ground separating the pits began to erode rapidly, increasing the rate of water flow into the AG pit. The Manager drove into the pit and down into the decline to evacuate the men. All six men drowned.",6/13/1989 0:00,6/13/1989 0:00,-27.79534912,120.7287598,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=2,
3,Disaster Event,Industrial - Appin Mine Explosion,"On 24 July 1979 an explosion occurred in the underground mine in Appin, a small town situated 35 km north-west of Wollongong. The explosion was caused by a rush of methane gas in the K panel which was a remote area of the mine situated 3 km below the surface.  There were 45 individuals working in the mine at the time of the explosion. A total of 14 people lost their lives; 10 miners were killed in the crib room, while another four were killed in other areas of the mine.",7/24/1979 0:00,7/24/1979 0:00,-34.19221115,150.7863312,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=3,
4,Disaster Event,Transport - Granville Rail Disaster,"On 18 January 1977, a passenger train left Mount Victoria in the Blue Mountains for Sydney. Whilst negotiating a left hand curve 250 m west of the Granville Railway Station, the train derailed causing it to collide with the northern trestle supporting the Bold Street Bridge. The bridge collapsed on the train, destroying one carriage and crushing two others.  The derailed locomotive demolished the eight stanchions of the northern trestle, sheering a power pylon from its base before overturning. Eight people died when the top of the first carriage was demolished as it caught the power pylon. The second carriage stopped clear of the bridge. The third and fourth carriages were crushed when the unsupported northern span of the 30 m wide bridge collapsed, killing&nbsp;83 people. The following four carriages remained on the rails, causing injuries to 210 passengers.  A Departmental and Judicial Inquiry found that poor maintenance was a critical factor, with no evidence to support any offence against the driver and the crew.  On the twentieth anniversary of the disaster, a memorial was erected at Granville containing the names of the deceased.",1/18/1977 0:00,1/18/1977 0:00,-33.83146286,151.009964,,,,,210,83,,1,,,,,,,,,,1,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=4,
5,Disaster Event,Bushfire - Sydney and Southern New South Wales,"The summer of January 1939 was a period of extreme weather conditions across Australia. Scorching temperatures created ideal conditions for bushfires. The notorious 'Black Friday' bushfires had a devastating impact on Victoria however, New South Wales was also badly affected by fire during the same period. The mercury reached 45.3C in Sydney and subsequent fires erupted across the state in towns including Port Hacking, Palm Beach, Nowra, Mittagong, Goulburn, Braidwood, Bega, Parramatta, Lidcombe, Bathurst, Windsor, Castle Hill, Pennant Hills, Petersham, Earlwood, Croydon, Katoomba and other areas around the Blue Mountains.  The bushfires had a devastating impact on infrastructure, including roads and railway lines. There was also a significant loss to farms and livestock and approximately fifty houses were completely destroyed by fire. Six individuals lost their lives as a direct result of the fires.  It was estimated that the 1939 damage was approximately &pound;300,000.",1/13/1939 0:00,1/14/1939 0:00,-34.42498398,150.8931274,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=5,
6,Disaster Event,Urban Fire - Melbourne,"On the night of 8 April 1996, a fire broke out in Unit 31 of Victoria's largest institution housing people with intellectual disabilities. Unit 31 was a locked ward, without a sprinkler system or an adequate alarm system, and subsequently the nine residents inside were killed by the fire.  A Coronial Inquest was held following the fire.",4/8/1996 0:00,4/8/1996 0:00,-37.81215668,144.9636536,,,,36,,9,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=6,
7,Disaster Event,Bushfire - Wandilo,"On 5 April 1958 a pine plantation fire occurred in Wandilo, near Mount Gambier, where eight firefighters lost their lives. The fire started at 10.45 am and strong north, north-easterly winds forced the fire into nearby forests. Forestry and Emergency Fire Service units were dispatched and entered a clearing in the plantation. A fire storm developed and fire fighting crews were caught unprepared. Two forestry units were bogged in soft sand when trying to evacuate and another damaged a gearbox and could not move. Three people managed to survive in and out of the trucks but eight others died.  The fire was brought under control early the next day.",4/5/1958 0:00,4/6/1958 0:00,-37.73846054,140.7737122,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=7,
8,Disaster Event,Shipwreck - Haweis,"On 24 October 1829, the vessel Haweis left Sydney en route to the Society Islands and New Zealand. The ship did not arrive at its destination and was never seen again. All 11 crew on board were presumed dead.",24/10/1829 00:00:00,24/10/1829 00:00:00,-32.24996948,155.6103516,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=8,
9,Disaster Event,Transport - Trawalla Train and Truck Collision,"On 28 April 2006, a V/Line passenger train bound for Ararat with 36 passengers on board collided with a truck in Trawalla in country Victoria. The train's two carriages were derailed as a result of the high speed of the collision. Two people were killed and up to 20 passengers were injured. The crossing had a give way sign but no bells or boom gates. The State Government announced in early 2008 that the Trawalla crossing has been upgraded to feature boom barriers, flashing warning lights and audible warning bells.",4/28/2006 0:00,4/28/2006 0:00,-37.43626022,143.4694214,,,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=9,
10,Disaster Event,Industrial - Gladstone Factory Explosion,"On 9 May 2006, an explosion occurred at a munitions factory in Gladstone, South Australia. Three workers were killed and two others injured. The blast destroyed the factory and leveled almost everything within a 100 m radius of the factory and was heard up to 70 km away. Emergency services were kept at a distance until bomb experts from Adelaide gave the all clear to enter the immediate vicinity of the factory.  SafeWork South Australia and the Full Court of the Industrial Court found the explosion to be caused by friction in a 'ribbon blender', or chemical mixer, as a result of poor maintenance. The company was fined for failure to maintain a safe workplace and ordered to pay legal costs and compensation to the victim's families.",5/9/2006 0:00,5/9/2006 0:00,-33.26222992,138.3563232,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=10,
11,Disaster Event,Transport - Plane Crash Indonesia,"On 7 March 2007, a Garuda Indonesia Airways 737-400 aircraft had been on a domestic flight from Jakarta and over ran the runway at Yogyakarta, Indonesia after landing.The aircraft went through the airport's perimeter fence, crossed a road and an embankment, and caught fire as it came to rest in a nearby rice paddy. One of the seven crew members and 20 of the 133 passengers were killed and 12 seriously injured. Among them, five Australians were killed and a further five were injured.  In 2009, the Indonesian pilot was sentenced to two years jail over the plane crash having been found guilty of negligently causing death. This ruling was later overturned on appeal.",3/7/2007 0:00,3/7/2007 0:00,-7.789532185,110.4211807,,,,,12,21,,,,,,,,,,,,,,1,,,,,,,,,,,,Outside Australia,,http://www.emknowledge.gov.au/resource/?id=11,
12,Disaster Event,Cyclone George,"Tropical Cyclone George formed on 3 March 2007 in the Joseph Bonaparte Gulf. By the time it crossed the coast, 50 km north-east of Port Hedland on 8 March, it had intensified from a Category 3 to a Category 5 tropical cyclone.  Winds generated by Tropical Cyclone George reached 154 km per hour at Port Hedland before the equipment failed. Temporary accommodation at a railway camp was severely damaged with some units breaking into pieces, causing greater damage. Of the 230 workers seeking shelter at the camp, which was 120 km south of Port Hedland, two died and 22 were injured. Damage was also reported at 3 mining camps, where 1000 people were cut off from rescuers by 275 km per hour winds.  An emergency situation was declared under the Emergency Management Act on 9 March to assist areas impacted by TC George, including the local government districts of Port Hedland, Roebourne and Ashburton.  Gas and oil production facilities in the region were closed for up to seven days as a result of the cyclone. The Insurance Council of Australia estimated the 2007 damage at $8 million, with the 2011 estimated normalised cost of $12 million.",3/3/2007 0:00,3/8/2007 0:00,-20.31162643,118.5752563,,,,,20,3,8000000,,,,,,,,,,,,,,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=12,
13,Disaster Event,Transport - Sydney Ferry Accident,"On 28 March, the ferries HarbourCat and Pam Burridge, and the motor cruiser Merinda, collided approximately 96 m east of the Harbour Bridge and 180 m out from the shoreline of Dawes Point in the Sydney Harbour. The speed at which the vessels were travelling was estimated at 25 knots.  The Master of the Pam Burridge sighted the Merinda on the bow side at a distance of approximately 20 m. At 10.50 pm, the Starboard pontoon (hull) of the Pam Burridge collided with the Starboard side of Merinda midway along its length. The Pam Burridge tore through the hull, machinery space and decking and dislodged the transom. The Merinda's fly bridge was also destroyed.   Consequently, the Merinda was effectively cut in two and the occupants were either thrown into the water or left clinging onto the wreckage. Air trapped below deck in the trunk cabin kept the wreckage of Merinda afloat until the responding vessels attended. Four passengers on board Merinda died and the remaining eight required hospitalisation. Contributing factors to the collision included; poor visibility, environmental factors and human error.",3/28/2007 0:00,3/28/2007 0:00,-33.8515625,151.2089539,,,,,8,4,,,,,,,,,,,,,,,,,,2,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=13,
14,Disaster Event,Hail - Hunter Valley,"On 31 October 2006 at Hexham in the Hunter Valley, a thunderstorm produced hail 4 cm in diameter. The hail damaged up to 10,000 motor vehicles and stripped leaves off trees.  At Wallsend a thunderstorm produced 4 cm hail, at Kahibah strong winds and 2 cm hail was reported and at New Lambton hail 3-4 cm in diameter was reported. The SES received more than 257 calls for assistance in the Newcastle city area.  The Insurance Council of Australia estimated the 2006 damage at $51 million, with the 2011 estimated normalised cost of $60 million.",10/31/2006 0:00,10/31/2006 0:00,-32.82806015,151.6847076,,,,,,,51000000,,,,,,,,,,,,,,10000,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=14,
